Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39400.0,39400.0,38550.0,38750.0,33776.15625,7847664
2019-01-03,38300.0,38550.0,37450.0,37600.0,32773.76171875,12471493
2019-01-04,37450.0,37600.0,36850.0,37450.0,32643.009765625,14108958
2019-01-07,38000.0,38900.0,37800.0,38750.0,33776.15625,12748997
2019-01-08,38000.0,39200.0,37950.0,38100.0,33209.59375,12756554
2019-01-09,38650.0,39600.0,38300.0,39600.0,34517.0546875,17452708
2019-01-10,40000.0,40150.0,39600.0,39800.0,34691.37890625,14731699
2019-01-11,40350.0,40550.0,39950.0,40500.0,35301.53125,11661063
2019-01-14,40450.0,40700.0,39850.0,40050.0,34909.28515625,11984996
2019-01-15,40050.0,41100.0,39850.0,41100.0,35824.5078125,11492756
2019-01-16,41150.0,41450.0,40700.0,41450.0,36129.59375,8491595
2019-01-17,41700.0,42100.0,41450.0,41950.0,36565.40625,11736903
2019-01-18,42000.0,42400.0,41950.0,42300.0,36870.48828125,11029256
2019-01-21,42700.0,42750.0,41900.0,42750.0,37262.7265625,11355701
2019-01-22,42750.0,42850.0,41850.0,42150.0,36739.7421875,9964356
2019-01-23,41350.0,42250.0,41350.0,42000.0,36608.9921875,11071079
2019-01-24,43050.0,43100.0,42350.0,43050.0,37524.2109375,14747623
2019-01-25,44300.0,44750.0,43750.0,44750.0,39006.0078125,22789395
2019-01-28,45000.0,45500.0,44600.0,45050.0,39267.49609375,17998914
2019-01-29,45050.0,45500.0,44350.0,45500.0,39659.7421875,16215017
2019-01-30,44800.0,46400.0,44800.0,46400.0,40444.22265625,17505980
2019-01-31,46650.0,47050.0,46150.0,46150.0,40226.30859375,21621145
2019-02-01,46650.0,46950.0,46250.0,46350.0,40400.6328125,13832454
2019-02-07,46800.0,47100.0,46200.0,46200.0,40269.890625,15872001
2019-02-08,45700.0,45700.0,44650.0,44800.0,39049.59375,12689196
2019-02-11,44500.0,45000.0,44250.0,45000.0,39223.91015625,11125044
2019-02-12,44650.0,46250.0,44650.0,46050.0,40139.140625,13184367
2019-02-13,46400.0,46700.0,46000.0,46200.0,40269.890625,11299738
2019-02-14,46600.0,47500.0,46150.0,47500.0,41403.02734375,17259341
2019-02-15,46750.0,46850.0,45650.0,46050.0,40139.140625,10554643
2019-02-18,46500.0,46850.0,45850.0,46200.0,40269.890625,8183728
2019-02-19,45850.0,46150.0,45450.0,45950.0,40051.98046875,6741395
2019-02-20,46750.0,47100.0,46500.0,46900.0,40880.0546875,11506720
2019-02-21,46500.0,47200.0,46200.0,46950.0,40923.6171875,8694009
2019-02-22,46500.0,47150.0,46450.0,47150.0,41097.95703125,6895772
2019-02-25,47400.0,47550.0,47050.0,47350.0,41272.27734375,7484716
2019-02-26,47350.0,47450.0,46500.0,46750.0,40749.30078125,7985547
2019-02-27,47000.0,47250.0,46750.0,46750.0,40749.30078125,8045211
2019-02-28,46400.0,46500.0,45100.0,45100.0,39311.0859375,23569321
2019-03-04,46000.0,46100.0,44800.0,44850.0,39093.171875,12926539
2019-03-05,44600.0,45100.0,44150.0,44250.0,38570.1875,10612405
2019-03-06,44000.0,44300.0,43700.0,44000.0,38352.2734375,10202544
2019-03-07,43400.0,44950.0,43400.0,44450.0,38744.51171875,11049749
2019-03-08,44450.0,44800.0,43800.0,43800.0,38177.953125,7729069
2019-03-11,44400.0,44450.0,43650.0,43650.0,38047.203125,10717408
2019-03-12,44300.0,44950.0,44150.0,44650.0,38918.84375,11431977
2019-03-13,44250.0,44450.0,43700.0,43850.0,38221.53515625,8108343
2019-03-14,43700.0,44300.0,43550.0,43850.0,38221.53515625,18039161
2019-03-15,43800.0,44250.0,43700.0,44200.0,38526.6015625,16814163
2019-03-18,43950.0,44150.0,43450.0,43700.0,38090.78515625,8188876
2019-03-19,43750.0,43900.0,43550.0,43900.0,38265.1171875,7609563
2019-03-20,43800.0,44200.0,43100.0,44050.0,38395.8515625,9846242
2019-03-21,44600.0,46250.0,44050.0,45850.0,39964.81640625,21138016
2019-03-22,46850.0,47000.0,46250.0,46550.0,40574.96875,12535911
2019-03-25,45300.0,45650.0,44800.0,45500.0,39659.7421875,8699728
2019-03-26,45500.0,45700.0,44900.0,45250.0,39441.83203125,9729811
2019-03-27,44750.0,45600.0,44250.0,45350.0,39528.9921875,9568081
2019-03-28,44950.0,45200.0,44300.0,44850.0,39400.7265625,6821306
2019-03-29,44500.0,44900.0,44200.0,44650.0,39225.03515625,11491713
2019-04-01,45200.0,45450.0,44850.0,45050.0,39576.42578125,7362129
2019-04-02,45550.0,46100.0,45350.0,45750.0,40191.38671875,9480688
2019-04-03,46750.0,46750.0,45800.0,46600.0,40938.109375,12436570
2019-04-04,46150.0,47100.0,46150.0,46950.0,41245.58203125,12650168
2019-04-05,46950.0,47550.0,46600.0,46850.0,41157.73828125,8546339
2019-04-08,47250.0,47250.0,46150.0,46650.0,40982.0390625,8507909
2019-04-09,46700.0,46950.0,46200.0,46650.0,40982.0390625,6878761
2019-04-10,46400.0,46700.0,46050.0,46700.0,41025.953125,11883995
2019-04-11,46700.0,46800.0,46150.0,46250.0,40630.640625,13697399
2019-04-12,46050.0,46900.0,46000.0,46850.0,41157.73828125,7668936
2019-04-15,47150.0,47500.0,47000.0,47050.0,41333.43359375,8733019
2019-04-16,47400.0,47400.0,46800.0,47250.0,41509.1328125,7730881
2019-04-17,47300.0,47600.0,47000.0,47050.0,41333.43359375,5513658
2019-04-18,47200.0,47250.0,45500.0,45600.0,40059.6015625,12808747
2019-04-19,45750.0,46000.0,45250.0,45300.0,39796.0546875,8479710
2019-04-22,45400.0,45900.0,45100.0,45350.0,39839.984375,6006957
2019-04-23,45050.0,45500.0,45000.0,45200.0,39708.20703125,6920566
2019-04-24,45400.0,45650.0,44150.0,44750.0,39312.8828125,13299267
2019-04-25,44250.0,45000.0,44100.0,44650.0,39225.03515625,10868965
2019-04-26,44200.0,45000.0,43800.0,44850.0,39400.7265625,9739982
2019-04-29,45150.0,46150.0,45100.0,46150.0,40542.78125,8777517
2019-04-30,46000.0,46300.0,45350.0,45850.0,40279.234375,11121273
2019-05-02,45500.0,46150.0,45400.0,45900.0,40323.15234375,8625126
2019-05-03,45900.0,46050.0,45300.0,45300.0,39796.0546875,6562916
2019-05-07,45250.0,45300.0,44400.0,44850.0,39400.7265625,12014907
2019-05-08,44300.0,44850.0,44200.0,44250.0,38873.63671875,10398754
2019-05-09,43900.0,44250.0,42450.0,42450.0,37292.328125,23029718
2019-05-10,42600.0,43450.0,42450.0,42900.0,37687.65625,14579512
2019-05-13,42500.0,43200.0,42350.0,42650.0,37468.03125,7635079
